Date,Value,Anomaly
201109,63.1,-1.1
201110,52.8,0.5
201111,44.7,4.3
201112,34.8,4.1
201201,30.3,5.1
201202,32.4,5.1
201203,49.6,13.3
201204,48.5,0.6
201205,64.0,4.7
201206,70.9,1.9
201207,77.8,4.7
201208,71.8,0.4
201209,63.0,-1.2
201210,51.8,-0.5
201211,39.5,-0.9
201212,35.3,4.6
201301,28.4,3.2
201302,26.3,-1.0
201303,33.6,-2.7
201304,45.7,-2.2
201305,62.2,2.9
201306,68.5,-0.5
201307,72.8,-0.3
201308,70.7,-0.7
201309,63.5,-0.7
201310,53.1,0.8
201311,37.4,-3.0
201312,27.0,-3.7
201401,16.4,-8.8
201402,18.4,-8.9
201403,27.6,-8.7
201404,47.9,0.0
201405,59.9,0.6
201406,69.8,0.8
201407,68.9,-4.2
201408,70.3,-1.1
201409,62.5,-1.7
201410,51.7,-0.6
201411,35.3,-5.1
201412,33.4,2.7
201501,21.0,-4.2
201502,13.4,-13.9
201503,33.1,-3.2
201504,48.2,0.3
201505,63.0,3.7
201506,68.0,-1.0
201507,71.1,-2.0
201508,70.7,-0.7
201509,68.0,3.8
201510,53.6,1.3
201511,45.4,5.0
201512,40.2,9.5
201601,26.9,1.7
201602,31.0,3.7
201603,42.2,5.9
201604,45.4,-2.5
201605,59.5,0.2
201606,70.1,1.1
201607,75.1,2.0
201608,75.6,4.2
201609,67.4,3.2
201610,55.4,3.1
201611,45.6,5.2
201612,28.5,-2.2
201701,30.8,5.6
201702,36.5,9.2
201703,36.0,-0.3
201704,53.5,5.6
201705,57.8,-1.5
201706,70.0,1.0
201707,73.1,0.0
201708,70.0,-1.4
201709,65.9,1.7
201710,57.0,4.7
201711,39.8,-0.6
201712,25.9,-4.8
201801,24.0,-1.2
201802,30.0,2.7
201803,34.1,-2.2
201804,41.6,-6.3
201805,64.6,5.3
201806,69.9,0.9
201807,74.3,1.2
201808,74.4,3.0
201809,67.3,3.1
201810,51.3,-1.0
201811,35.6,-4.8
201812,33.6,2.9
201901,23.7,-1.5
201902,27.5,0.2
201903,33.8,-2.5
201904,48.4,0.5
201905,57.9,-1.4
201906,67.4,-1.6
201907,76.0,2.9
201908,72.0,0.6
201909,67.8,3.6
201910,53.3,1.0
201911,35.0,-5.4
201912,34.2,3.5
202001,32.4,7.2
202002,29.7,2.4
202003,40.9,4.6
202004,45.6,-2.3
202005,57.9,-1.4
202006,70.9,1.9
202007,76.9,3.8
202008,72.7,1.3
202009,63.2,-1.0
202010,51.0,-1.3
