Date,Value,Anomaly
202002,0.92,-0.99
202003,3.44,1.12
202004,2.17,-1.03
202005,3.81,0.08
202006,2.95,-0.35
202007,3.69,0.35
202008,5.51,2.16
202009,3.19,0.02
202010,2.38,-0.34
202011,2.44,-0.13
202012,1.40,-0.76
202101,1.14,-1.06
202102,1.14,-0.77
202103,1.92,-0.40
202104,1.84,-1.36
202105,2.21,-1.52
202106,7.13,3.83
202107,5.53,2.19
202108,5.26,1.91
202109,4.49,1.32
202110,5.38,2.66
202111,1.69,-0.88
202112,3.10,0.94
